/var/www/userreg/social_auth/utils.py TIME: 2014-02-11 20:06:56,859 MSG: utils.py:log:176 Found user data for token CAAJ*************************************************************************************************************************************************************************************************
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-17 02:29:16,585 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/social_auth/utils.py TIME: 2014-02-17 05:26:40,578 MSG: utils.py:log:176 Found user data for token CAAJ************************************************************************************************************************************************************************************************
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-17 06:01:37,610 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/social_auth/utils.py TIME: 2014-02-17 23:46:20,074 MSG: utils.py:log:176 Found user data for token CAAJ**********************************************************************************************************************************************************************************************
/var/www/userreg/social_auth/utils.py TIME: 2014-02-18 00:16:55,601 MSG: utils.py:log:176 Found user data for token CAAJ****************************************************************************************************************************************************************************************************
/var/www/userreg/social_auth/utils.py TIME: 2014-02-18 00:21:44,777 MSG: utils.py:log:176 Found user data for token CAAJ**************************************************************************************************************************************************************************************************
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-18 01:40:49,898 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-18 09:28:15,455 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-18 09:30:39,597 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-19 04:20:21,470 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-24 00:08:16,485 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-24 00:59:39,743 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-24 01:53:08,850 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-24 10:48:59,945 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-24 10:52:43,692 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-24 10:56:09,725 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-25 00:23:00,655 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-25 01:19:51,602 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-25 01:22:26,688 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-25 01:45:04,331 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/home/capsone-system7/Karthik/Itechtalents/1st_Phase_Regression_Testing/userreg/askbot/skins/utils.py TIME: 2014-02-25 01:57:31,814 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 03:00:36,161 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 03:00:50,300 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 05:33:14,834 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 05:33:32,464 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/social_auth/utils.py TIME: 2014-02-25 06:07:28,298 MSG: utils.py:log:176 Found user data for token CAAJ*********************************************************************************************************************************************************************************************
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 06:20:19,548 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 06:46:56,336 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 06:47:04,846 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 06:56:08,307 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 06:56:13,181 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 07:53:43,115 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-25 07:53:49,098 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-26 00:02:01,436 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-26 00:02:54,569 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-26 04:53:11,368 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-26 04:56:39,911 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-26 06:10:16,351 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-27 07:55:25,662 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-02-27 07:56:58,935 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/social_auth/utils.py TIME: 2014-02-28 06:34:28,890 MSG: utils.py:log:176 Found user data for token CAAJ**************************************************************************************************************************************************************************************************
/var/www/userreg/askbot/skins/utils.py TIME: 2014-03-01 08:12:46,928 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-03-02 23:12:00,140 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-03-03 23:19:59,169 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-03-04 04:12:51,230 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-03-04 04:14:32,630 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
/var/www/userreg/askbot/skins/utils.py TIME: 2014-03-04 05:21:50,174 MSG: utils.py:get_media_url:159 missing media resource images/NoticiaText-Bold.ttf in skin default
